Group,Team,Played,Won,Draw,Lost,GF,GA,GD,Points
A,Netherlands,3,2,1,0,5,1,4,7
A,Senegal,3,2,0,1,5,4,1,6
A,Ecuador,3,1,1,1,4,3,1,4
A,Qatar,3,0,0,3,1,7,-6,0
B,England,3,2,1,0,9,2,7,7
B,USA,3,1,2,0,2,1,1,5
B,Iran,3,1,0,2,4,7,-3,3
B,Wales,3,0,1,2,1,6,-5,1
C,Poland,2,1,1,0,2,0,2,4
C,Argentina,2,1,0,1,3,2,1,3
C,Saudi Arabia,2,1,0,1,2,3,-1,3
C,Mexico,2,0,1,1,0,2,-2,1
D,France,2,2,0,0,6,2,4,6
D,Australia,2,1,0,1,2,4,-2,3
D,Denmark,2,0,1,1,1,2,-1,1
D,Tunisia,2,0,1,1,0,1,-1,1
E,Spain,2,1,1,0,8,1,7,4
E,Japan,2,1,0,1,2,2,0,3
E,Costa Rica,2,1,0,1,1,7,-6,3
E,Germany,2,0,1,1,2,3,-1,1
F,Croatia,2,1,1,0,4,1,3,4
F,Morocco,2,1,1,0,2,0,2,4
F,Belgium,2,1,0,1,1,2,-1,3
F,Canada,2,0,0,2,1,5,-4,0
G,Brazil,2,2,0,0,3,0,3,6
G,Switzerland,2,1,0,1,1,1,0,3
G,Cameroon,2,0,1,1,3,4,-1,1
G,Serbia,2,0,1,1,3,5,-2,1
H,Portugal,2,2,0,0,5,2,3,6
H,Ghana,2,1,0,1,5,5,0,3
H,South Korea,2,0,1,1,2,3,-1,1
H,Uruguay,2,0,1,1,0,2,-2,1
